,poi_x,poi_y,poi_name,poi_area,place_name
231,-8864352.397337347,4388226.730245973,Dunrankin Drive Public School,29350.522733068694,Mississauga
232,-8872058.28293718,4375295.073102526,Woodland Chase Park,29312.724084778984,Mississauga
233,-8867535.172198217,4376660.684625744,Ashgate Park,29274.222257734593,Mississauga
234,-8880036.295623269,4376830.064396644,Plum Tree Park Public School,29255.597699302263,Mississauga
235,-8874862.150351308,4380645.684263883,Gooderham Park,29183.773626612514,Mississauga
236,-8860869.058503242,4376413.919963002,Hancock Woodlands,29101.89359899075,Mississauga
237,-8861553.873756858,4379348.12360618,St. Teresa of Calcutta Catholic Elementary School,29087.014088378583,Mississauga
238,-8874848.867228815,4374988.881972977,Duncairn Downs,29069.897861702255,Mississauga
239,-8875838.793650093,4375787.16169831,Castlebridge Public School,28976.525611647015,Mississauga
240,-8864138.384469038,4373311.618522798,Lorne Park Public School,28953.272517840156,Mississauga
241,-8868431.380273236,4372170.934035087,Homelands Senior Public School,28875.22855826728,Mississauga
242,-8875302.362004299,4374024.95501722,Erin Centre Middle School,28811.494306185523,Mississauga
243,-8858740.928897724,4375232.827686605,Mentor College Main Campus,28703.70963916299,Mississauga
244,-8863501.06881826,4370581.32131621,Petro Canada Park,28678.96444363388,Mississauga
245,-8866732.589135403,4387092.110793663,Khalsa School Malton,28664.543687067944,Mississauga
246,-8870050.571663743,4377880.625209203,Heatherleigh Park,28629.128531775834,Mississauga
247,-8874780.825941235,4381431.71304446,Neebin Park,28470.30380961661,Mississauga
248,-8874058.484559193,4380814.171816385,St. Veronica Elementary School,28413.098187865744,Mississauga
249,-8872989.614850618,4379089.8793573715,St. Gregory School,28370.842465321675,Mississauga
250,-8862561.862429706,4377781.327182557,Metropolitan Andrei Catholic School,28319.802789047775,Mississauga
251,-8874787.908596694,4375072.961643104,Divine Mercy School,28178.334964230937,Mississauga
252,-8865170.675747156,4387962.675361668,Westwood Square,28168.490192239526,Mississauga
253,-8869441.596642481,4376665.234872523,Edenrose Public School,27924.02262296739,Mississauga
254,-8863174.750414303,4378003.111372325,Brentwood Park,27906.141281820655,Mississauga
255,-8863510.070603175,4380450.109551871,Fewster Community Recycling Centre,27900.172397520157,Mississauga
256,-8861136.79067924,4377066.239018107,Clifton Public School,27879.969455865,Mississauga
257,-8879832.334296947,4376072.014134838,Trelawny Public School,27801.880337929008,Mississauga
258,-8866708.444075337,4387692.452661305,Marvin Heights Park,27785.099168961504,Mississauga
259,-8875955.136212856,4375873.444721324,Our Lady of Mercy Elementary School,27724.648408640853,Mississauga
260,-8859540.256306553,4379811.654177837,Brian W. Fleming Public School,27681.31466341078,Mississauga
261,-8860531.926354283,4378947.084401283,Dixie Public School,27661.872233942766,Mississauga
262,-8862099.04335737,4376732.195554978,Cooksville Park,27429.065435061137,Mississauga
263,-8858573.076853195,4376027.190176098,Lyndwood Park,27351.510727628138,Mississauga
264,-8862156.90594318,4377766.200449883,Silver Creek Public School,27317.311887689335,Mississauga
265,-8875616.217408244,4376159.08121895,Bell Harbour Park,27299.571787707835,Mississauga
266,-8863339.859499589,4379520.648394678,Shelby Park,27201.986307766434,Mississauga
267,-8866673.895172318,4379555.375999187,Nahani Way Public School,27174.134433574,Mississauga
268,-8864391.736234995,4376164.2712722905,Father Daniel Zanon Elementary School,27147.024409840953,Mississauga
269,-8864940.120994737,4374977.2383994395,Hawthorn Public School,27049.95426514656,Mississauga
270,-8870308.286495684,4373823.968862219,South Common Centre,27028.6306290965,Mississauga
271,-8866975.137989039,4378562.064823191,Kingsbridge Common,26922.689906515825,Mississauga
272,-8857861.250340287,4376543.378010903,St. Paul Secondary School,26915.41465449913,Mississauga
