,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
5276,-79.36745639447483,44.30131141234557,-8835.264613289331,4917.445566770358,Sutton Public School,24102.69324144217,Georgina
5277,-79.42469088930906,44.31102247398288,-8841.636014488773,4918.5234946121,Willow Beach Park,16759.646518082365,Georgina
5278,-79.45997493096564,44.223833943141926,-8845.563869290027,4908.845567688753,R. L. Graham Public School,15554.899933564504,Georgina
5279,-79.4573007085564,44.22476422119599,-8845.266172177207,4908.948828552755,Oakmeadow Park,14674.592452376586,Georgina
5280,-79.46998949389523,44.23224681545502,-8846.678700449911,4909.779396515507,Claredon Beach Park,12506.415183454841,Georgina
5281,-79.48240563885889,44.249523221525656,-8848.060878123411,4911.697077589348,St. Thomas Aquinas Catholic Elementary School,10823.26084185565,Georgina
5282,-79.22680339088576,44.33784671928459,-8819.606980276794,4921.500985840589,Holmes Point Conservation Area,9028.501384032244,Georgina
5283,-79.36802732104157,44.30851137160951,-8835.328169405668,4918.244762248656,Sutton Multi-Use Complex,7855.890698867539,Georgina
5284,-79.45194023971574,44.241973398402216,-8844.669439425395,4910.859047222646,Ice Palace,6821.341164283994,Georgina
5285,-79.46907029067098,44.19733811861647,-8846.576373827784,4905.904531166429,Vista Park,6811.464962073844,Georgina
5286,-79.36888137278538,44.32648406895931,-8835.423243299841,4920.239731654483,Bonnie Park,5992.51258784201,Georgina
5287,-79.47752920331249,44.240858084760845,-8847.51802844195,4910.735247408454,Keswick Beach Association,5166.514208772742,Georgina
5288,-79.35843033871969,44.30059857209457,-8834.259823736615,4917.366441502498,Kin Park,4818.630124113413,Georgina
5289,-79.37011979119023,44.32227306981867,-8835.561105275088,4919.772310749872,Jackson's Point Parkette,4494.751343444998,Georgina
5290,-79.3752931007731,44.30392059107905,-8836.137003271162,4917.735185609775,Wyndham Park,4274.091653897212,Georgina
5291,-79.3619322321124,44.32170888202208,-8834.649658010983,4919.70968590445,The Briars,3713.6480729246778,Georgina
5292,-79.36270388456231,44.30626583429385,-8834.73555913336,4917.995507606618,The Link,3316.8047062984497,Georgina
5293,-79.35370762682183,44.30246398059283,-8833.734086725433,4917.5735018458045,Sutton Arena,2974.320075376644,Georgina
5294,-79.4754642804448,44.209014398707446,-8847.288159163396,4907.200598256526,Glenwood Beach Park,2712.189033405375,Georgina
5295,-79.39150370300955,44.318752860483954,-8837.941583722726,4919.381567513719,Jackson's Point Conference Centre,2630.0537500435535,Georgina
5296,-79.47985959543435,44.1972182986158,-8847.777450023346,4905.891231146354,Adeline Park,2416.644564097212,Georgina
5297,-79.46577705211848,44.2395926123329,-8846.209767218881,4910.594779968952,Gwendolyn Park,1654.184038687135,Georgina
5298,-79.41805069578564,44.315707054965905,-8840.896821505552,4919.043483101215,Willow Wharf Park,1581.2988597318326,Georgina
