,x,y,x_km,y_km,Station_Name,City
175,-75.691653,45.42161,-8426.070503613,5041.79871,Ottawa City Hall,Ottawa
176,-79.551219,43.850021,-8855.721250299,4867.352331,Alectra Utilities,Vaughan
177,-79.638069,43.703078,-8865.389479149,4851.041658,International Centre,Mississauga
178,-79.6172446846905,43.6159655947781,-8863.071295544432,4841.37218102037,Tomken Plaza,Mississauga
179,-79.328755,43.77259,-8830.956335355,4858.75749,Atria III,North York
180,-79.673530754631,43.4642838170579,-8869.337117136278,4824.535503693426,Shops of Oakville South,Oakville
181,-75.689262,45.403244,-8425.804335102,5039.7600840000005,Glebe Parking Garage,Ottawa
182,-79.187683,43.769277,-8815.252059243001,4858.389747,Kingston Square West,Scarborough
183,-79.383202,43.650016,-8837.017429841999,4845.151776,Richmond Adelaide Centre,Toronto
184,-79.241467,43.119628,-8821.239347907,4786.278708,Brock University International Centre,St. Catharines
185,-79.190976,43.14538,-8815.618639296,4789.137180000001,GM St. Catharines Engine Plant,St. Catharines
186,-78.2854,43.9716,-8714.8090134,4880.8476,Port Hope Travel Center - Tesla Supercharger,Port Hope
187,-79.383925,43.647466,-8837.097914925,4844.868726000001,ImPark,Toronto
189,-79.387013,43.644355,-8837.441674173,4844.523405,Metro Toronto Convention Centre,Toronto
190,-77.244892,45.876658,-8598.978622331999,5092.309038,Glenergy,Petawawa
191,-79.382676,43.638965,-8836.958874996,4843.925115,Harbourfront Centre,Toronto
192,-79.404192,43.744452,-8839.354057632,4855.634172,York Mills Centre,Toronto
193,-79.136537025795,43.0942331956864,-8809.558438248525,4783.45988472119,Imagine Showroom,Niagara Falls
194,-75.709938,45.340066,-8428.106008097999,5032.747326,Hunt Club Nissan,Ottawa
195,-79.887496,43.216163,-8893.155942215999,4796.994093,John Bear Buick Chevrolet GMC Cadillac,Hamilton
197,-79.388245,46.257458,-8837.578821645,5134.577838,Clarion Resort - Pinewood Park,North Bay
198,-79.794554,43.358872,-8882.809545834001,4812.834792,Comfort Inn,Burlington
200,-79.132226,45.346743,-8809.078530546,5033.488472999999,Deerhurst Resort,Huntsville
202,-79.857498,45.297541,-8889.816534858,5028.027051,Terrawoods Resort On Muskoka Shores - Tesla Destination,Parry Sound
203,-77.657806,44.296024,-8644.944621726,4916.858664,Waupoos Estate Winery and Gazebo Restaurant - Tesla Destination,Picton
204,-79.646537,45.105835,-8866.332145376999,5006.747685,Sherwood Inn - Tesla Destination,Port Carling
205,-79.588292,45.111627,-8859.848253732,5007.390597,Muskoka Modern - Tesla Destination,Port Carling
206,-76.295458,44.707262,-8493.286680018,4962.506082,Upper Narrows Retreat - Tesla Destination,Portland
207,-79.27031,43.75715,-8824.450179509999,4857.0436500000005,Excellence Auto Collision - Tesla Destination,Scarborough
208,-79.856267,45.294129,-8889.679498707,5027.648319,Horseshoe Pines Marina - Tesla Destination,Seguin
209,-79.244997,43.175141,-8821.632311037,4792.440651000001,Comfort Inn St Catharines - Tesla Destination,St Catharines
210,-79.225607,43.132337,-8819.473796847,4787.689407,Pendale Plaza - Tesla Destination,St. Catharines
211,-79.253252,43.179235,-8822.551265892,4792.895085,Days Inn St Catharines Niagara - Tesla Destination,St Catharines
212,-79.239534,43.116587,-8821.024164414,4785.941157,Four Points Sheraton St. Catharines Niagara Suites - Tesla Destination,Thorold
213,-79.378115,43.648998,-8836.451139915,4845.038778,One King West Hotel & Residence - Tesla Destination,Toronto
214,-79.393699,43.670857,-8838.185966379,4847.4651269999995,The Hazelton Hotel - Tesla Destination,Toronto
215,-78.879513,43.890709,-8780.946266673,4871.868699000001,419 King St West,Oshawa
216,-79.386174,43.649103,-8837.348275854,4845.050432999999,Shangri-La Hotel Toronto - Tesla Destination,Toronto
217,-79.386032,43.638857,-8837.332468272,4843.913127,Radisson Admiral Hotel Toronto- Harbourfront - Tesla Destination,Toronto
218,-79.376884,43.650946,-8836.314103764,4845.255005999999,State Street Financial Centre - Tesla Destination,Toronto
219,-79.391032,43.645797,-8837.889073272,4844.683467,Hotel Le Germain - Toronto - Tesla Destination,Toronto
220,-79.380338,43.64988,-8836.698606498,4845.1366800000005,TRUMP Toronto International Hotel and Tower - Tesla Destination,Toronto
221,-79.521431,43.645351,-8852.405220351,4844.6339609999995,Bloor Islington Place - East/Central Tower P1 and P3 - Tesla Destination,Toronto
222,-79.383031,43.658446,-8836.998393951,4846.087506,Chelsea Hotel - Tesla Destination,Toronto
223,-79.377971,43.671915,-8836.435109691,4847.582565,Target Park - 365 Bloor St - Tesla Destination,Toronto
224,-79.469446,43.758431,-8846.618198166001,4857.185841,Johnvince Foods - North York - Tesla Destination,Toronto
225,-79.389753,43.671634,-8837.746693713,4847.551374,Four Seasons Hotel Toronto - Tesla Destination,Toronto
226,-79.382062,43.640202,-8836.890523902,4844.062422,Queens Quay West Parkade - Tesla Destination,Toronto
227,-79.19428,43.790897,-8815.986443880001,4860.789567,Toronto Pan Am Sports Centre - Tesla Destination,Toronto
228,-78.339528,44.749011,-8720.834596488,4967.140221000001,Catchacoma Marina - Tesla Destination,Trent Lakes
229,-79.592936,43.832547,-8860.365228456,4865.412717,Kortright Centre - Tesla Destination,Vaughan
230,-79.411646,43.151512,-8840.183844366,4789.817832,Tawse Winery - Tesla Destination,Vineland
231,-78.244298,45.489017,-8710.233497658,5049.280887,Couples Resort Inc - Tesla Destination,Whitney
232,-79.7958359,43.3540903,-8882.952248223899,4812.3040233,BHEI,Burlington
233,-79.7731428,43.3892208,-8880.4260296388,4816.203508799999,FENGATE STATION,Burlington
234,-79.7479934692383,44.4444351196289,-8877.626380989077,4933.332298278808,Greenlots - 43132,Minesing
235,-79.4102207,43.762396,-8840.0251785447,4857.625956,PETER K,Toronto
236,-79.3998469,43.6382029,-8838.8703567549,4843.840521900001,CONCORD  B37,Toronto
237,-79.759302,43.68498,-8878.885257942,4849.0327800000005,City of Brampton - City Hall,Brampton
238,-79.760404,43.684498,-8879.007933683999,4848.979278,City of Brampton - West Tower City Hall,Brampton
239,-79.7138606,43.7486179,-8873.8266758526,4856.0965869,City of Brampton - Fire A&M Building,Brampton
240,-79.7381452,43.652797,-8876.5300618092,4845.460467,City of Brampton - South Fletcher's,Brampton
241,-79.763295,43.6858333,-8879.329762694999,4849.1274963,City of Brampton - Nelson Garage Parking,Brampton
242,-79.4463197,44.2242321,-8844.0437553237,4908.8897631,WENDYSQSR,Georgina
243,-79.3470423,43.7951196,-8832.9920958783,4861.2582756,SENECA-NH,Toronto
244,-79.3899306,43.6871436,-8837.7664643226,4849.2729395999995,MTCC 646,Toronto
246,-79.6415867,43.58943,-8865.781073030701,4838.42673,MORGUARD,Mississauga
250,-79.3626521,43.6599827,-8834.7297944241,4846.2580797,563 DUNDAS ST,Toronto
251,-79.3658643,43.6600239,-8835.0873797403,4846.2626529,1 COLE,Toronto
252,-79.7068346,43.5578926,-8873.044534506598,4834.9260786,ERIN MILLS,Mississauga
253,-75.6937078,45.4195913,-8426.2992460038,5041.5746343,160 ELGIN,Ottawa
254,-79.3605766,43.6602919,-8834.4987476886,4846.2924009,ONE PARK PLACE,Toronto
255,-79.887013,43.215631,-8893.102174173,4796.935041000001,Audi Hamilton,Hamilton
256,-79.864,43.2167,-8890.540344000001,4797.0537,CF Lime Ridge - Tesla Supercharger,Hamilton
257,-79.2857,43.8675,-8826.1634097,4869.2925,CF Markville Shopping Centre - Tesla Supercharger,Markham
258,-75.6908,45.4264,-8425.975546799998,5042.3304,CF Rideau Centre - Tesla Supercharger,Ottawa
259,-79.5541,43.6139,-8856.0419661,4841.1429,CF Sherway Gardens - Tesla Supercharger,Etobicoke
260,-79.383,43.6556,-8836.994943,4845.7716,CF Toronto Eaton Centre - Tesla Supercharger,Toronto
261,-79.8222,43.3263,-8885.8871262,4809.219300000001,Mapleview Centre - Tesla Supercharger,Burlington
262,-79.7862,43.5984,-8881.879570199999,4839.4223999999995,Meadowvale - Tesla Supercharger,Mississauga
263,-75.0818,45.3047,-8358.1810578,5028.8216999999995,Metro Casselman - Tesla Supercharger,Casselman
264,-77.3989,44.1879,-8616.122946899999,4904.8569,Quinte Mall - Tesla Supercharger,Belleville
265,-79.7094,44.4108,-8873.3301174,4929.5988,SmartCentres Barrie North - Tesla Supercharger,Barrie
266,-79.3535,43.8502,-8833.7109735,4867.3722,SmartCentres Markham Woodside - Tesla Supercharger,Markham
267,-79.5389,43.8273,-8854.3498869,4864.8303000000005,Vaughan Mills - Tesla Supercharger,Concord
268,-79.110649,45.15259,-8806.676557329,5011.937489999999,Baysville Marina - Tesla Destination,Baysville
269,-79.413164,43.178965,-8840.352829644,4792.865115,Royal DeMaria Winery - Tesla Destination,Beamsville
270,-76.480597,44.22819,-8513.896538637,4909.32909,Delta Hotels by Marriott Kingston Waterfront - Tesla Destination,Kingston
271,-79.080903,43.08992,-8803.365202863,4782.98112,Travelodge Hotel by the Falls - Tesla Destination,Niagra Falls
272,-79.388245,46.257458,-8837.578821645,5134.577838,Clarion Resort Pinewood Park - Tesla Destination,North Bay
273,-79.701188,43.442091,-8872.415949348,4822.072101,Inception Automotive Detailing - Tesla Destination,Oakville
274,-79.789007,43.704824,-8882.192048247,4851.235464,Frost GM,Brampton
282,-79.383031,43.658446,-8836.998393951,4846.087506,Chelsea Hotel,Toronto
283,-79.412447,43.766031,-8840.273012487,4858.029441,GWL Realty Advisors Garage - Tesla Destination,Toronto
284,-79.754735,43.605041,-8878.376854934999,4840.159551,Enersource Head Office,Mississauga
285,-79.619936,43.712306,-8863.370895455999,4852.065966,Lange Transport,Mississauga
286,-79.082699,43.081771,-8803.565135379,4782.076581,Fallsview Casino Resort,Niagara Falls
288,-79.405514,43.897503,-8839.501223993999,4872.622833,Town of Richmond Hill,Richmond Hill
290,-79.289789,43.730713,-8826.618601269,4854.109143000001,Centennial College - Ashtonbee Campus,Scarborough
291,-79.381926,43.649365,-8836.875384246001,4845.079515,First Canadian Place,Toronto
292,-79.503475,43.772862,-8850.406340475,4858.787682,York University - Vanier Lot,Toronto
293,-79.389753,43.671634,-8837.746693713,4847.551374,Four Seasons - Toronto,Toronto
294,-79.508957,43.85556,-8851.016602197,4867.967159999999,Vaughan City Hall,Vaughan
295,-79.510432,43.855533,-8851.180800671998,4867.964163000001,Vaughan Civic Centre Resource Library,Vaughan
296,-75.712223,44.60254,-8428.360376583,4950.881939999999,Riverside Chevrolet,Brockville
297,-75.081801,45.307333,-8358.181169121,5029.113963,Laplante Chevrolet Buick GMC,Casselman
298,-76.32004,44.579059,-8496.023172840001,4948.275549,The Opinicon Dining & Resort,Elgin
299,-75.544836,45.463211,-8409.726688356,5046.416421,Myers Orleans Chevrolet Buick GMC,Orleans
300,-75.6938469,45.4232213,-8426.314730754899,5041.9775643,National Arts Centre,Ottawa
301,-75.71057,45.250862,-8428.17636297,5022.845682,Surgenor Chevrolet Buick GMC,Ottawa
302,-78.383589,44.272082,-8725.739511069,4914.201102,Peterborough Mitsubishi,Peterborough
303,-75.93008,45.293796,-8452.612435680001,5027.611356,Myers Kanata Chevy Buick GMC,Stittsville
304,-76.155174,44.334056,-8477.670124854,4921.080215999999,Gananoque Chev,Gananoque
305,-75.733316,45.297838,-8430.708470436,5028.060018,Ottawa Park and Ride,Barrhaven
306,-79.679,44.3411,-8869.945959,4921.862099999999,Park Place - Tesla Supercharger,Barrie
308,-79.735426,43.876061,-8876.227357746,4870.242771,Albion Bolton Community Centre,Bolton
309,-79.803618,43.404863,-8883.818559378,4817.939793,RBC Royal Bank,Burlington
313,-75.281295,45.275705,-8380.389040695,5025.603255,Embrun Arena,Embrun
316,-79.807691,43.25054,-8884.271969811001,4800.80994,Centre on Barton,Hamilton
317,-79.6009,43.2097,-8861.2517889,4796.276699999999,Casablanca Winery Inn & Spa - Tesla Supercharger,Grimsby
318,-79.2067,45.3336,-8817.3690507,5032.0296,Huntsville Place Mall - Tesla Supercharger,Huntsville
319,-76.5034,44.2673,-8516.4349914,4913.6703,King's Crossing Fashion Outlet Centre - Tesla Supercharger,Kingston
320,-79.620454,43.685691,-8863.428559733999,4849.111701,Pearson Airport - Terminal 1 Parking,Mississauga
321,-79.620454,43.685691,-8863.428559733999,4849.111701,Pearson Airport - Terminal 3 Parking,Mississauga
322,-79.748086,44.444205,-8877.636681606,4933.306755,Simcoe County Museum,Midhurst
324,-79.596632,43.659284,-8860.776670872,4846.180524,ImPark - Novo-nordisk,Mississauga
325,-79.742592,43.601136,-8877.025084032,4839.726095999999,ImPark - Hilton Mississauga,Mississauga
330,-78.876826,43.874643,-8780.647147145999,4870.085373,Best Western - Oshawa,Oshawa
333,-79.488864,43.725148,-8848.779829344001,4853.491427999999,Humber River Hospital,Toronto
335,-79.385723,43.647915,-8837.298070083,4844.918565,ImPark - Sun Life Centre,Toronto
336,-79.391399,43.644554,-8837.929928079,4844.545494,Triovest,Toronto
337,-79.520963,43.645531,-8852.353122122999,4844.653941,ImPark - Bloor Islington Place,Toronto
338,-79.387212,43.653998,-8837.463827052,4845.593778,ImPark - University Centre,Toronto
339,-79.412679,43.764831,-8840.298838959,4857.896241,ImPark - Madison Centre,Toronto
341,-79.390105,43.659265,-8837.785878705,4846.178414999999,ImPark - MaRS Centre,Toronto
342,-79.395188,43.672027,-8838.351723348,4847.594997,ImPark - Yorkville Village,Toronto
343,-75.666082,45.373269,-8423.223914322,5036.4328590000005,Jim Tubman Chevrolet,Ottawa
345,-79.253252,43.179235,-8822.551265892,4792.895085,Days Inn,St. Catharines
346,-79.379753,43.646302,-8836.633483713,4844.739522,Royal Bank Plaza,Toronto
347,-79.327856,43.772736,-8830.856257776,4858.773696,ImPark - Atria,Toronto
348,-79.532061,43.78603,-8853.588562581,4860.24933,Toronto and Region Conservation - Head Office,Vaughan
349,-79.760364,43.686934,-8879.003480844,4849.249674,City of Brampton - Rose Theatre,Brampton
350,-79.80671,43.714545,-8884.162763909999,4852.3144950000005,City of Brampton - Sandalwood Transit,Brampton
351,-79.709624,43.806479,-8873.355053304,4862.519169,City of Brampton - Fire Station 211,Brampton
352,-79.525916,43.833903,-8852.904495035998,4865.563233,Joint Operations Centre,Vaughan
353,-76.5300726890564,44.2229080792507,-8519.404221818448,4908.742796796828,St. Lawrence College - School of Computing,Kingston
357,-79.380978,43.647376,-8836.769851938,4844.858736,Toronto-Dominion Centre - Tesla Destination,Toronto
358,-79.380917,43.642863,-8836.763061357,4844.357793,Le Germain Hotel Maple Leaf Square - Tesla Destination,Toronto
361,-79.385381,43.660645,-8837.259998300999,4846.331595000001,College Park Garage - Tesla Destination,Toronto
364,-79.24971,43.18011,-8822.156966909999,4792.99221,PERF BMW CANADA,St. Catharines
365,-79.449682,43.639276,-8844.418049922,4843.9596360000005,30 The Queensway,Toronto
